"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.123702977622351,0.257701225052708,0.480024794593234,0.631244207549707
"ComplierTRUE",0.292900729298518,0.073850867959079,3.96611085817996,7.47355891183865e-05
"srl_anxiety",-0.000594920069386121,0.0524452543316248,-0.0113436397052112,0.99095002150371
"srl_self_efficacy",0.157350991488136,0.0763727328163655,2.06030327429135,0.0394542528090042
"srl_mindset",0.0778006109430153,0.0579258509209652,1.34310691523837,0.179337353871236
"srl_mastery_orientation",-0.126788182347317,0.086539060445619,-1.46509774539314,0.142997390312365
"srl_strategies",0.0334090051026468,0.101442819537478,0.329338293779422,0.741922631346062
"srl_metacognition",-0.157189068204714,0.0810664037965763,-1.93901617492687,0.052591552574736
