"","assessment","results_and_feedback","results_only","t_statistic","p_value"
"1","Mathematics","0.6 (SD = 0.2)","0.55 (SD = 0.2)","t1960 = 6.53","< 0.01"
"2","Reading","0.87 (SD = 0.14)","0.82 (SD = 0.2)","t1639 = 6.08","< 0.01"
"3","Writing","0.82 (SD = 0.15)","0.73 (SD = 0.17)","t1481 = 11.39","< 0.01"
