"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.00374205002785,0.242842757958997,4.13330032348476,3.62175509591646e-05
"ComplierTRUE",0.148361378922396,0.0570260419968501,2.60164257815036,0.0092993023234114
"srl_anxiety",0.127288424048964,0.039848483254184,3.19431038910619,0.00140847861295245
"srl_self_efficacy",-0.0927000745518559,0.0682536705536286,-1.35816980683873,0.174457878876813
"srl_mindset",0.0189837513275388,0.0472579099970923,0.401705266456067,0.687914415964351
"srl_mastery_orientation",0.0261372964726718,0.078169426879799,0.334367252210549,0.738113448677299
"srl_strategies",-0.0652641574888983,0.083143949298765,-0.784953782437993,0.432509840209332
"srl_metacognition",-0.0232582190044736,0.0618215403407578,-0.376215456235404,0.706769247010967
