"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.875469192677495,0.0555137491968558,15.7703128566045,6.3762842362166e-54
"ComplierTRUE",0.0430059423889199,0.0158782111982152,2.70848786755991,0.00679682592573057
"srl_anxiety",-0.0164620283481236,0.0112869577416523,-1.4585000426974,0.144805796922323
"srl_self_efficacy",0.010857863612596,0.0164138929868667,0.661504471930199,0.508338849475069
"srl_mindset",0.0120723683216748,0.0124659638398664,0.968426386980773,0.332908302634651
"srl_mastery_orientation",-0.0498449478812807,0.0185714738816175,-2.68395218381769,0.00731509911620626
"srl_strategies",0.03139426857796,0.0217857449629042,1.44104636455704,0.149674304125832
"srl_metacognition",-0.0602420671239877,0.0173632547828659,-3.46951466630754,0.000528632328530432
