"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.697137876922446,0.0345744415044725,20.1633879417044,1.06452371844649e-87
"ComplierTRUE",0.0630131116123529,0.00815372655801127,7.72813647404458,1.25992807997936e-14
"srl_anxiety",0.027728044481217,0.00578787986749602,4.79070836230277,1.69954636885994e-06
"srl_self_efficacy",0.0100882662231675,0.0097445857027056,1.0352688693955,0.300582638615864
"srl_mindset",-0.000156855721588111,0.00677251388941405,-0.0231606349059377,0.981522863952498
"srl_mastery_orientation",-0.01856502804866,0.0111750811843371,-1.66128798014287,0.0967048021115734
"srl_strategies",0.00764747431558356,0.0118712705566495,0.644200153563173,0.519468831510463
"srl_metacognition",-0.0115301982962661,0.00883107937568667,-1.30563862080218,0.191722601906738
